State Name/Location,pricing,Emi,Project Name,Location,Config,Possession Status
nagpur_maharashtra,1.53 Cr,EMI starts at 89.7 K,Gurumurty Tejomay Residency,"Bajaj Nagar, Nagpur",3 BHK Apartment,Ready to Move
nagpur_maharashtra,Price on Request,Adisun Square,"Bajaj Nagar, Nagpur",3 BHK Apartment,Ready to Move
nagpur_maharashtra,45.6 L,EMI starts at 28.4 K,Duplex Row Houses - Sumangal Vihar,"Digdoh, Nagpur",3 BHK Row House,"Dec, 2018"
nagpur_maharashtra,18.15 L - 20.46 L,EMI starts at 12.7 K,Mananya Keshav Vihar,"Zingabai Takli, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,20.75 L,EMI starts at 12.9 K,AIR Pancham Apartment 1,"Dixit Nagar, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,18.5 L - 44.38 L,EMI starts at 27.6 K,Taha Majestic,"Godhni, Nagpur","2, 5 BHK Apartment, Row House, Penthouses",Ready to Move
nagpur_maharashtra,31.25 L - 37.1 L,EMI starts at 23.1 K,FIRE Arcor Empyrean Daffodil Highs,"Kotewada, Nagpur","2, 3 BHK Apartments",Ready to Move
nagpur_maharashtra,14.11 L,EMI starts at 8.8 K,FIRE Arcor Empyrean Vista Carnation Mids,"Kotewada, Nagpur",1 BHK Apartment,Ready to Move
nagpur_maharashtra,26.27 L - 32.67 L,EMI starts at 20.3 K,Revati Royal Gayatri Park 1,"MIHAN, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,17 L,EMI starts at 10.6 K,Gupta Heritage Park E,"Chandrakiran Nagar, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,32.38 L,EMI starts at 20.1 K,Green Emerald,"Gotal Pajri, Nagpur",3 BHK Row House,Ready to Move
nagpur_maharashtra,14.01 L - 18.98 L,EMI starts at 11.8 K,Green Emerald - C,"Gotal Pajri, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,18.74 L - 21.76 L,EMI starts at 13.5 K,Green Riviera - I,"Gotal Pajri, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,18.74 L - 21.76 L,EMI starts at 13.5 K,Green Riviera - IV,"Gotal Pajri, Nagpur",2 BHK Apartment,Ready to Move
